id,name,type,address,district,subdistrict,capacity,facilities,contact_person,contact_phone,status,description,source_type,source_reference,is_verified,data_status,longitude,latitude
11,"Masjid Al-Furqon Lungsir",masjid,"Area Lungsir, Tanjung Karang Pusat","Tanjung Karang Pusat",Lungsir,300,"aula,toilet,tempat ibadah,parkir","Pengurus Masjid",0812-7300-2101,aktif,"Titik evakuasi simulasi yang dekat dengan pusat kota.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi fasilitas/area diverifikasi melalui peta publik OpenStreetMap/Nominatim, fungsi evakuasi merupakan skenario uji aplikasi.",,simulasi,105.2615707,-5.4291549
12,"GOR Saburai",aula,"Kompleks GOR Saburai, Enggal",Enggal,Enggal,600,"aula luas,toilet,parkir,pos kesehatan","Koordinator GOR",0812-7300-2102,aktif,"Titik evakuasi simulasi berkapasitas besar untuk area pusat kota.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi fasilitas/area diverifikasi melalui peta publik OpenStreetMap/Nominatim, fungsi evakuasi merupakan skenario uji aplikasi.",,simulasi,105.2598,-5.4218
13,"Kantor Kecamatan Teluk Betung Selatan",gedung_pemerintah,"Area kantor kecamatan Teluk Betung Selatan","Teluk Betung Selatan",Pesawahan,180,"aula,toilet,ruang koordinasi","Petugas Kecamatan",0812-7300-2103,aktif,"Titik evakuasi simulasi untuk warga sekitar Teluk Betung Selatan.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi fasilitas/area diverifikasi melalui peta publik OpenStreetMap/Nominatim, fungsi evakuasi merupakan skenario uji aplikasi.",,simulasi,105.2591,-5.4485
14,"Kandidat Evakuasi Panjang Utara - Simulasi",aula,"Area Panjang Utara sekitar Jalan Yos Soedarso",Panjang,"Panjang Utara",220,"aula,toilet,dapur umum","Koordinator Titik Evakuasi",0812-7300-2104,aktif,"Kandidat titik evakuasi simulasi untuk wilayah Panjang dan sekitar pelabuhan.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi fasilitas/area diverifikasi melalui peta publik OpenStreetMap/Nominatim, fungsi evakuasi merupakan skenario uji aplikasi.",,simulasi,105.3229645,-5.4721335
15,"Kandidat Evakuasi Sukarame - Simulasi",aula,"Area Sukarame",Sukarame,Sukarame,120,"aula,toilet,ruang tunggu","Koordinator Titik Evakuasi",0812-7300-2105,aktif,"Kandidat titik evakuasi simulasi untuk area Sukarame.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi fasilitas/area diverifikasi melalui peta publik OpenStreetMap/Nominatim, fungsi evakuasi merupakan skenario uji aplikasi.",,simulasi,105.294654,-5.3974767
16,"SDN Simulasi Way Halim",sekolah,"Area sekolah Way Halim Permai","Way Halim","Way Halim Permai",250,"ruang kelas,toilet,halaman","Koordinator Sekolah",0812-7300-2106,aktif,"Titik evakuasi simulasi untuk area permukiman Way Halim.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi fasilitas/area diverifikasi melalui peta publik OpenStreetMap/Nominatim, fungsi evakuasi merupakan skenario uji aplikasi.",,simulasi,105.2746909,-5.3823404
17,"Lapangan Enggal",lapangan,"Area lapangan terbuka Enggal",Enggal,Enggal,500,"area terbuka,parkir,posko tenda","Petugas Lapangan",0812-7300-2107,aktif,"Titik kumpul simulasi untuk evakuasi sementara.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi fasilitas/area diverifikasi melalui peta publik OpenStreetMap/Nominatim, fungsi evakuasi merupakan skenario uji aplikasi.",,simulasi,105.2593,-5.4175
18,"Balai Warga Rajabasa - Simulasi",gedung_pemerintah,"Area Rajabasa",Rajabasa,Rajabasa,160,"aula,toilet,ruang logistik","Petugas Kelurahan",0812-7300-2108,penuh,"Titik evakuasi simulasi dengan status penuh untuk variasi demo.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi fasilitas/area diverifikasi melalui peta publik OpenStreetMap/Nominatim, fungsi evakuasi merupakan skenario uji aplikasi.",,simulasi,105.229728,-5.3627526
19,"Masjid Simulasi Kemiling",masjid,"Area Kemiling Permai",Kemiling,"Kemiling Permai",200,"aula,toilet,tempat ibadah","Pengurus Masjid",0812-7300-2109,aktif,"Titik evakuasi simulasi untuk area Kemiling.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi fasilitas/area diverifikasi melalui peta publik OpenStreetMap/Nominatim, fungsi evakuasi merupakan skenario uji aplikasi.",,simulasi,105.2224429,-5.3760226
20,"Balai Warga Kedamaian",gedung_pemerintah,"Area Balai Warga Kedamaian",Kedamaian,Kedamaian,170,"aula,toilet,dapur umum","Petugas Kelurahan",0812-7300-2110,aktif,"Titik evakuasi simulasi untuk skenario genangan Kedamaian.",admin_input,"Dataset simulasi pengembangan SIGAP Banjir; lokasi fasilitas/area diverifikasi melalui peta publik OpenStreetMap/Nominatim, fungsi evakuasi merupakan skenario uji aplikasi.",,simulasi,105.2815,-5.41
