id,name,address,district,subdistrict,risk_level,description,source_type,source_reference,is_verified,data_status,longitude,latitude
26,"Risiko Banjir Way Kandis","Kelurahan Way Kandis","Tanjung Senang","Way Kandis",tinggi,"Area permukiman risiko tinggi berdasarkan jurnal, luasan sekitar 143,19 ha. Titik merupakan representasi/centroid area kelurahan berdasarkan hasil kajian risiko banjir, bukan batas polygon risiko resmi.",jurnal,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang",true,nyata,105.292,-5.3608
27,"Risiko Banjir Sukabumi","Kelurahan Sukabumi",Sukabumi,Sukabumi,tinggi,"Area permukiman risiko tinggi berdasarkan jurnal, luasan sekitar 136,80 ha. Titik merupakan representasi/centroid area kelurahan berdasarkan hasil kajian risiko banjir, bukan batas polygon risiko resmi.",jurnal,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang",true,nyata,105.311,-5.4105
28,"Risiko Banjir Bumi Kedamaian","Kelurahan Bumi Kedamaian",Kedamaian,"Bumi Kedamaian",tinggi,"Area sempadan sungai dan permukiman risiko tinggi; terkait Sungai Kalibalok menurut pembahasan jurnal. Titik merupakan representasi/centroid area kelurahan berdasarkan hasil kajian risiko banjir, bukan batas polygon risiko resmi.",jurnal,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang",true,nyata,105.286,-5.394
29,"Risiko Banjir Rajabasa Jaya","Kelurahan Rajabasa Jaya",Rajabasa,"Rajabasa Jaya",tinggi,"Disebut dalam jurnal sebagai kelurahan dengan tingkat risiko tinggi terluas. Titik merupakan representasi/centroid area kelurahan berdasarkan hasil kajian risiko banjir, bukan batas polygon risiko resmi.",jurnal,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang",true,nyata,105.235,-5.3585
30,"Risiko Banjir Bumi Waras","Kelurahan Bumi Waras","Bumi Waras","Bumi Waras",tinggi,"Area sempadan pantai risiko tinggi berdasarkan jurnal. Titik merupakan representasi/centroid area kelurahan berdasarkan hasil kajian risiko banjir, bukan batas polygon risiko resmi.",jurnal,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang",true,nyata,105.268,-5.4395
31,"Risiko Banjir Kangkung","Kelurahan Kangkung","Bumi Waras",Kangkung,tinggi,"Area sempadan pantai risiko tinggi berdasarkan jurnal. Titik merupakan representasi/centroid area kelurahan berdasarkan hasil kajian risiko banjir, bukan batas polygon risiko resmi.",jurnal,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang",true,nyata,105.26,-5.447
32,"Risiko Banjir Way Tataan","Kelurahan Way Tataan","Teluk Betung Timur","Way Tataan",tinggi,"Area sempadan pantai risiko tinggi berdasarkan jurnal. Titik merupakan representasi/centroid area kelurahan berdasarkan hasil kajian risiko banjir, bukan batas polygon risiko resmi.",jurnal,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang",true,nyata,105.291,-5.473
33,"Risiko Banjir Gedong Pakuan","Kelurahan Gedong Pakuan","Teluk Betung Selatan","Gedong Pakuan",tinggi,"Area sempadan sungai risiko tinggi berdasarkan jurnal. Titik merupakan representasi/centroid area kelurahan berdasarkan hasil kajian risiko banjir, bukan batas polygon risiko resmi.",jurnal,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang",true,nyata,105.256,-5.438
34,"Risiko Banjir Pesawahan","Kelurahan Pesawahan","Teluk Betung Selatan",Pesawahan,tinggi,"Area sempadan sungai/pantai risiko tinggi berdasarkan jurnal. Titik merupakan representasi/centroid area kelurahan berdasarkan hasil kajian risiko banjir, bukan batas polygon risiko resmi.",jurnal,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang",true,nyata,105.249,-5.437
35,"Risiko Banjir Sumberejo Sejahtera","Kelurahan Sumberejo Sejahtera",Kemiling,"Sumberejo Sejahtera",tinggi,"Area permukiman risiko tinggi berdasarkan jurnal. Titik merupakan representasi/centroid area kelurahan berdasarkan hasil kajian risiko banjir, bukan batas polygon risiko resmi.",jurnal,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang",true,nyata,105.223,-5.393
36,"Risiko Banjir Kampung Baru","Kelurahan Kampung Baru","Labuhan Ratu","Kampung Baru",tinggi,"Area permukiman risiko tinggi; jurnal juga membahas Kampung Baru sebagai permukiman berkepadatan tinggi. Titik merupakan representasi/centroid area kelurahan berdasarkan hasil kajian risiko banjir, bukan batas polygon risiko resmi.",jurnal,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang",true,nyata,105.245,-5.372
37,"Risiko Banjir Kota Karang Raya","Kelurahan Kota Karang Raya","Teluk Betung Timur","Kota Karang Raya",tinggi,"Area sempadan pantai dan permukiman risiko tinggi berdasarkan jurnal. Titik merupakan representasi/centroid area kelurahan berdasarkan hasil kajian risiko banjir, bukan batas polygon risiko resmi.",jurnal,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang",true,nyata,105.255,-5.463
